star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,hostname,pl_letter,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_eqt,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbsmax,pl_dens,pl_denserr1,pl_denserr2,st_teff,st_rad,sy_dist,default_flag
HD_093963c,0.77,1.3,3.228,1335,7.8,HD 93963 A c,HD 93963 A c,HD 93963 A,c,3.11976057,0.13502367,-0.10446158,3.6451389,1212.45,18.4,3.2,-3.1,0.04726,3.31,0.8,-1.01,5908,1.0311,82.3432,1
K2-093c,0.75,1.3,2.725,757,7.7,HIP 41378 c,HIP 41378 c,HIP 41378,c,,,,31.70648,,,,,,,,,6226,1.343,106.289,1
TOI-776b,0.8,1.3,1.826,513,7.9,TOI-776 b,TOI-776 b,TOI-776,b,1.798,0.078,-0.077,8.24662,520,5,1.6,-1.6,0.0653,4.8,1.8,-1.6,3725,0.547,27.1701,1
HD_023472c,0.62,1.3,1.87,469,7.3,HD 23472 c,HD 23472 c,HD 23472,c,1.87,0.12,-0.11,29.79749,467,3.41,0.88,-0.81,0.1646,3.1,1,-0.84,4684,0.71,39.0341,1
HD_183579,0.57,1.3,3.488,758,7.2,HD 183579 b,HD 183579 b,HD 183579,b,3.49,0.07,-0.064,17.471291,752,20.4,2.6,-2.5,0.1322,2.65,0.37,-0.35,5784,0.96,57.2651,1
TOI-1136b,0.84,1.3,1.904,1210,8,TOI-1136 b,TOI-1136 b,TOI-1136,b,,,,4.1727,1216,3.5,0.8,-0.7,0.05106,2.8,1,-1,5770,0.968,84.5362,1
TOI-130,0.44,1.3,2.453,943,6.6,HD 5278 b,HD 5278 b,HD 5278,b,2.45,0.05,-0.05,14.339156,943,7.8,1.5,-1.4,0.1202,2.9,0.6,-0.5,6203,1.194,57.5846,1
Ross_176,0.99,1.2,1.837,682,8.4,Ross 176 b,Ross 176 b,Ross 176,b,1.84,0.08,-0.08,5.0066338,682,4.57,0.89,-0.93,0.0464,4.03,0.49,-0.81,4041,0.569,46.4488,1
HD_110113,1.02,1.2,2.05,1453,8.5,HD 110113 b,HD 110113 b,HD 110113,b,2.05,0.12,-0.12,2.541,1371,4.55,0.62,-0.62,0.035,2.9,0.75,-0.59,5732,0.968,106.307,1
TOI-125c,1.26,1.2,2.755,828,9,TOI-125 c,TOI-125 c,TOI-125,c,2.759,0.1,-0.1,9.15059,827.8,6.63,0.99,-0.99,0.0814,1.73,0.33,-0.33,5320,0.848,111.059,1
K2-003b,1.02,1.2,2.076,501,8.6,K2-3 b,K2-3 b,K2-3,b,2.078,0.076,-0.067,10.0546535,501.3,5.11,0.65,-0.64,0.0747,3.11,0.49,-0.46,3844,0.546,44.0727,1
TOI-1272,1.69,1.2,4.133,1051,9.7,TOI-1272 b,TOI-1272 b,TOI-1272,b,4.13204907,0.2262768,-0.15125906,3.31599,975,27,2.7,-2.5,0.0417,2.09,0.44,-0.59,5065,0.7934,137.572,1
TOI-776c,0.72,1.1,2.061,414,7.9,TOI-776 c,TOI-776 c,TOI-776,c,2.047,0.081,-0.078,15.665323,420,6.9,2.6,-2.5,0.1001,4.4,1.8,-1.6,3725,0.547,27.1701,1
TOI-178f,1.04,1.1,2.415,525,8.8,TOI-178 f,TOI-178 f,TOI-178,f,2.287,0.108,-0.11,15.231915,521,7.72,1.67,-1.52,0.1039,3.6,1.2,-0.83,4316,0.651,62.699,1
TOI-1736,0.51,1.1,3.046,1180,7.3,TOI-1736 b,TOI-1736 b,TOI-1736,b,3.18175535,0.12195694,-0.09508409,7.073076,1099.79,12.3,1.5,-1.4,0.073,2.09,0.43,-0.56,5636,1.4286,88.9482,1
TOI-179,0.43,1.1,2.598,991,6.9,HD 18599 b,HD 18599 b,HD 18599,b,2.6,0.15,-0.13,4.1374354,,24.1,7.1,-7.7,0.048,7.5,2.6,-2.4,5145,0.767,38.5653,1
TOI-1260b,1.1,1.1,2.408,872,8.9,TOI-1260 b,TOI-1260 b,TOI-1260,b,2.41,0.05,-0.05,3.127463,871,8.56,1.54,-1.54,0.0367,3.35,0.64,-0.64,4227,0.672,73.5977,1
TOI-406c,1.05,1.1,2.083,368,8.9,TOI-406 c,TOI-406 c,TOI-406,c,1.32,0.12,-0.12,3.307441,584,2.08,0.23,-0.22,0.0322,4.9,1.4,-1.4,3392,0.41,31.0597,1
HD_006061,0.53,1.1,2.453,1192,7.4,HD 6061 b,HD 6061 b,HD 6061,b,2.42763557,0.09903199,-0.07283589,5.2549,1075.31,10,2.5,-2.5,0.06,3.82,1.1,-1.39,5934,1.0072,67.6203,1
HD_077946,0.59,1.1,2.703,1243,7.6,HD 77946 b,HD 77946 b,HD 77946,b,2.89646124,0.1867559,-0.14235529,6.527363,1128.86,10.9,1.8,-1.7,0.073,2.44,0.61,-0.83,6007,1.3174,99.451,1
TOI-1246b,1.68,1.1,3.013,1040,9.9,TOI-1246 b,TOI-1246 b,TOI-1246,b,3.01,0.06,-0.06,4.30744,955,8.1,1.1,-1.1,0.049,1.63,0.23,-0.23,5151,0.86,169.422,1
K2-002,0.7,1,2.464,753,8,HIP 116454 b,HIP 116454 b,HIP 116454,b,2.469,0.1,-0.091,9.1004157,753.2,9.7,1.2,-1.2,0.0792,3.53,0.63,-0.57,5048,0.758,62.4491,1
TOI-1695,0.99,1,1.904,688,8.8,TOI-1695 b,TOI-1695 b,TOI-1695,b,1.9,0.16,-0.14,3.1342791,698,6.36,1,-1,0.033548,5,1.8,-1.3,3690,0.515,45.1309,1
TOI-125b,1.07,1,2.724,1037,9,TOI-125 b,TOI-125 b,TOI-125,b,2.726,0.075,-0.075,4.65382,1037,9.5,0.88,-0.88,0.05186,2.57,0.33,-0.33,5320,0.848,111.059,1
TOI-1634,0.88,1,1.772,920,8.6,TOI-1634 b,TOI-1634 b,TOI-1634,b,1.773,0.077,-0.077,0.9893455,,7.57,0.71,-0.72,,7.6,1.3,-1.1,3472,0.45,35.2736,1
TOI-4010b,1.79,1,3.013,1439,10.2,TOI-4010 b,TOI-4010 b,TOI-4010,b,3.02,0.08,-0.08,1.348335,1441,11,1.29,-1.27,0.0229,2.2,0.3,-0.3,4960,0.83,177.504,1
K2-018b,1,1,2.71,301,8.9,K2-18 b,K2-18 b,K2-18,b,2.37,0.22,-0.22,32.939623,284,8.92,1.7,-1.6,0.1429,4.11,1.72,-1.18,3457,0.411,38.0266,1
HD_152843b,0.55,1,3.046,1123,7.6,HD 152843 b,HD 152843 b,HD 152843,b,3.41,0.14,-0.12,11.6264,,11.56,6.58,-6.14,0.1053,1.58,0.96,-0.83,6310,1.43,107.898,1
TOI-1803b,1.4,1,2.99,780,9.7,TOI-1803 b,TOI-1803 b,TOI-1803,b,2.99,0.08,-0.08,6.293287,747,10.32,1.66,-0.48,0.06,2.15031,0.551362,-0.551362,4687,0.715,119.24,1
TOI-6054c,0.35,1,2.811,1145,6.7,TOI-6054.02,TOI-6054.02,TOI-6054,c,2.864,0.373,-0.226,12.57499803,,,,,0.110878,,,,6112,1.612,79.407,1
K2-100,1.1,1,3.875,1839,9.2,K2-100 b,K2-100 b,K2-100,b,3.88,0.16,-0.16,1.6739035,1841,21.8,6.2,-6.2,0.0301,2.04,0.66,-0.61,5945,1.24,188.959,1
HD_015337b,0.4,0.9,1.768,989,7,HD 15337 b,HD 15337 b,HD 15337,b,1.77,0.032,-0.03,4.7559804,,6.519,0.409,-0.4,,6.458,0.518,-0.51,5131,0.855,44.8155,1
K2-266e,0.92,0.9,2.733,490,8.9,K2-266 e,K2-266 e,K2-266,e,2.73,0.14,-0.11,19.482,490.1,14.3,6.4,-5,0.1249,2.21,0.7,-0.47,4285,0.703,77.5586,1
TOI-733,0.56,0.9,1.99,1055,7.8,TOI-733 b,TOI-733 b,TOI-733,b,1.992,0.085,-0.09,4.884765,1055.8,5.72,0.7,-0.68,0.0618,3.98,0.77,-0.66,5585,0.949,75.2092,1
TOI-5076,0.78,0.9,3.487,540,8.6,TOI-5076 b,TOI-5076 b,TOI-5076,b,3.48935569,0.09975993,-0.09415544,23.443162,550,16.14568308,2.47906157,-2.47906157,0.1481,2.08,0.35,-0.34,4780,0.844,82.857,1
HD_020329,0.4,0.9,1.714,2138,7.1,HD 20329 b,HD 20329 b,HD 20329,b,1.72,0.07,-0.07,0.926118,2141,7.42,1.09,-1.09,0.018,8.06,1.53,-1.53,5596,1.13,63.6796,1
K2-093b,0.52,0.9,2.593,959,7.7,HIP 41378 b,HIP 41378 b,HIP 41378,b,,,,15.572098,,,,,,,,,6226,1.343,106.289,1
Kepler-088,2.9,0.9,3.774,1044,11.4,KOI-142 b,KOI-142 b,KOI-142,b,3.438,0.075,-0.075,10.91647,,9.5,1.1,-1.1,,1.29,0.16,-0.16,5466,0.897,376.863,1
TOI-757,0.55,0.9,2.498,640,7.9,TOI-757 b,TOI-757 b,TOI-757,b,2.5,0.1,-0.1,17.46819,641,10.5,2.2,-2.1,0.122,3.6,0.8,-0.8,5278,0.78,60.3418,1
TOI-220,0.75,0.9,3.024,792,8.5,TOI-220 b,TOI-220 b,TOI-220,b,3.03,0.15,-0.15,10.695264,805,13.8,1,-1,0.08911,2.73,0.47,-0.47,5298,0.858,90.7402,1
HIP_08152b,0.71,0.9,2.554,856,8.4,HIP 8152 b,HIP 8152 b,HIP 8152,b,2.53625843,0.15691518,-0.13542085,10.751014,794.96,8.9,1.7,-1.7,0.093,2.97,0.81,-1.08,5618,0.9603,101.694,1
TOI-178c,0.81,0.9,1.753,879,8.8,TOI-178 c,TOI-178 c,TOI-178,c,1.669,0.114,-0.099,3.23845,873,4.77,0.55,-0.68,0.037,5.62,1.5,-1.3,4316,0.651,62.699,1
K2-370,0.99,0.8,2.668,1481,9.2,K2-370 b,K2-370 b,K2-370,b,3.207,0.224,-0.548,2.14084,,,,,,,,,5377,0.971,144.202,1
TOI-238c,0.73,0.8,2.184,775,8.6,TOI-238 c,TOI-238 c,TOI-238,c,2.18,0.18,-0.18,8.465651,696,6.7,1.1,-1.1,0.0749,1.83,0.66,-0.66,5059,0.733,80.5407,1
HD_095338,0.29,0.8,3.886,447,6.6,HD 95338 b,HD 95338 b,HD 95338,b,3.89,0.19,-0.2,55.087,385,42.44,2.22,-2.08,0.262,3.98,0.62,-0.64,5212,0.87,36.9941,1
TOI-2458,0.52,0.8,2.822,1509,7.9,TOI-2458 b,TOI-2458 b,TOI-2458,b,2.83,0.2,-0.18,3.73659,1509.4,13.31,0.99,-0.96,0.0482,3.23,0.76,-0.64,6005,1.31,112.958,1
TOI-132,1.16,0.8,3.427,1531,9.6,TOI-132 b,TOI-132 b,TOI-132,b,3.42,0.13,-0.14,2.1097019,1395,22.4,1.9,-1.92,0.026,3.08,0.44,-0.46,5397,0.9,163.678,1
K2-019c,2.3,0.8,4.099,767,11.2,K2-19 c,K2-19 c,K2-19,c,4.1,0.2,-0.2,11.8993,,10.8,0.6,-0.6,,,,,5322,0.82,289.827,1
K2-079,1.28,0.8,4.088,1023,9.9,K2-79 b,K2-79 b,K2-79,b,4.09,0.17,-0.12,10.9947,1022,9.2,2.4,-2.4,0.0988,0.73,0.21,-0.2,5897,1.265,256.011,1
TOI-1238c,0.91,0.8,2.106,780,9.2,TOI-1238 c,TOI-1238 c,TOI-1238,c,2.11,0.14,-0.14,3.294736,695,8.32,1.9,-1.88,0.037,4.9,2.5,-1.8,4089,0.58,70.7145,1
