star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur,rowupdate,st_rad,st_teff,sy_dist,sy_jmag,sy_kmag
TOI-1136e,1.51,2.3,2.636,734,8.0,TOI-1136 e,TOI-1136 e,1.0,TOI-1136,6.07,1.09,-1.01,1.81,0.35,-0.35,737.0,e,18.801,0.14,2.15976695,0.88291043,-0.88291043,4.3425576,2024-04-10,0.968,5770.0,84.5362,8.363,8.034
TOI-178d,2.07,2.2,2.692,695,8.8,TOI-178 d,TOI-178 d,1.0,TOI-178,3.01,0.8,-1.03,0.976,0.3,-0.34,690.0,d,6.5577,0.0592,2.572,0.075,-0.078,2.346,2021-03-12,0.651,4316.0,62.699,9.372,8.656
TOI-1266c,2.14,2.2,2.128,351,8.8,TOI-1266 c,TOI-1266 c,1.0,TOI-1266,3.17,0.76,-0.76,2.25,0.64,-0.64,346.0,c,18.8027,0.105,1.98,0.1,-0.1,1.951,2025-03-21,0.4232,3563.0,36.0118,9.706,8.84
HD_042813b,1.19,2.2,3.405,757,7.6,HD 42813 b,HD 42813 b,1.0,HD 42813,9.1,0.82,-0.79,0.8,0.29,-0.35,716.0,b,13.6308205,0.111,3.41,0.046,-0.046,4.327,2024-09-13,0.98,5289.0,68.192,8.056,7.587
HD_136352d,0.25,2.2,2.505,430,4.2,HD 136352 d,HD 136352 d,1.0,HD 136352,8.82,0.93,-0.92,2.878108,0.430062,-0.39698,431.0,d,107.245,0.425,2.562,0.088,-0.079,8.87,2021-08-09,1.058,5664.0,14.682,4.308,4.159
HD_191939c,0.96,2.1,3.192,607,7.2,HD 191939 c,HD 191939 c,1.0,HD 191939,8.0,1.0,-1.0,1.35,0.2,-0.2,600.0,c,28.579743,0.1752,3.195,0.075,-0.075,4.162,2022-11-14,0.94,5348.0,53.6089,7.597,7.18
TOI-1430,0.88,2.0,1.98,809,7.1,HD 235088 b,HD 235088 b,1.0,HD 235088,4.15,0.83,-0.83,2.922216,0.661634,-0.661634,733.0,b,7.4341325,0.0706,1.982,0.072,-0.069,2.673,2025-08-07,0.772,5075.0,41.1706,7.646,7.084
TOI-815b,1.34,2.0,2.934,685,8.0,TOI-815 b,TOI-815 b,1.0,TOI-815,7.6,1.5,-1.4,1.64,0.33,-0.31,686.0,b,11.197259,0.0903,2.94,0.05,-0.05,3.379,2024-05-13,0.77,4869.0,59.7117,8.531,7.999
TOI-1759,1.26,2.0,3.248,453,7.9,TOI-1759 b,TOI-1759 b,1.0,TOI-1759,10.8,1.5,-1.5,1.91,0.32,-0.32,443.0,b,18.85019,0.1177,3.14,0.1,-0.1,3.23,2022-03-28,0.597,4065.0,40.0654,8.771,7.93
TOI-836b,0.74,2.0,1.702,871,6.8,TOI-836 b,TOI-836 b,1.0,TOI-836,4.53,0.92,-0.86,5.02,0.36,-0.44,871.0,b,3.81673,0.0422,1.704,0.067,-0.067,1.805,2023-02-25,0.665,4552.0,27.5024,7.58,6.804
LTT_3780c,1.42,2.0,2.386,347,8.2,LTT 3780 c,LTT 3780 c,1.0,LTT 3780,8.04,0.5,-0.48,3.24,0.55,-0.43,359.0,c,12.252284,0.0757,2.39,0.1,-0.11,1.54,2024-03-26,0.38,3358.0,21.9814,9.007,8.204001
TOI-969,1.93,2.0,2.763,1078,8.9,TOI-969 b,TOI-969 b,1.0,TOI-969,9.1,1.0,-1.0,2.34,0.39,-0.34,941.0,b,1.8237305,0.02636,2.765,0.088,-0.097,1.519,2022-10-31,0.671,4435.0,77.2554,9.596,8.879
